1,356420056729114,1456266230312,1456266250038,Standing,2/23/2016 22:23
2,356420055857114,1456266234939,1456266255666,Sitting,2/23/2016 22:23
3,356420055857114,1456266263728,1456266607307,Wheeling,2/23/2016 22:24
4,356420056729114,1456266257541,1456266607719,Stairs Up,2/23/2016 22:24
5,356420056729114,1456266611148,1456268591882,Sitting,2/23/2016 22:30
6,356420055857114,1456266618847,1456268593160,Stairs Down,2/23/2016 22:30
7,356420055857114,1456331025364,1456331331149,Standing,2/24/2016 16:23
8,356420055857114,1456350093717,1456350095555,Sitting,2/24/2016 21:41
9,358011053005190,1456428358814,1456429415611,Sitting,2/25/2016 19:25
10,358011053005190,1456429683432,1456429913281,Standing,2/25/2016 19:48
11,358011053005190,1456431366410,1456433705064,Walking,2/25/2016 20:16
12,358011053005190,1456436338062,1456436359142,Stand to Sit,2/25/2016 21:38
13,358011053005190,1456547023873,1456547036052,Stand to Sit,2/27/2016 4:23
14,356420050143304,1456446271661,1456446275386,Stand to Sit,2/26/2016 0:24
15,356420050143304,1456446293160,1456446299523,Sit to Stand,2/26/2016 0:24
16,356420050143304,1456446310719,1456446334556,Walking,2/26/2016 0:25
17,356420050143304,1456446355265,1456446418841,Standing,2/26/2016 0:25
18,356420050143304,1456450180156,1456450208468,Stairs Down,2/26/2016 1:29
19,356420050143304,1456451090757,1456451129544,Stairs Up,2/26/2016 1:44
20,356420050143304,1456451155353,1456451237958,Lying,2/26/2016 1:45
21,356420050143304,1456454887047,1456454891556,Sit to Stand,2/26/2016 2:48
22,356420050143304,1456454896937,1456454913813,Walking,2/26/2016 2:48
23,356420050143304,1456454924984,1456454937913,Stairs Down,2/26/2016 2:48
24,356420050143304,1456454950270,1456454967315,Stairs Up,2/26/2016 2:49
25,356420050143304,1456454976842,1456455061951,Standing,2/26/2016 2:49
26,356420050143304,1456455064741,1456455087839,Walking,2/26/2016 2:51
27,356420050143304,1456455134498,1456455141339,Stand to Sit,2/26/2016 2:52
28,356420050143304,1456455173143,1456455541922,Lying,2/26/2016 2:52
29,356420050143304,1456493250492,1456493280496,Stairs Down,2/26/2016 13:27
30,356420050143304,1456493291198,1456493310198,Walking,2/26/2016 13:28
31,356420050143304,1456493502607,1456493506757,Stand to Sit,2/26/2016 13:31
32,356420050143304,1456494063905,1456494066885,Sit to Stand,2/26/2016 13:41
33,356420050143304,1456547221757,1456547233394,Standing,2/27/2016 4:27
34,356420057301244,1456778436358,1456778493215,Lying,2/29/2016 20:40
35,356420057301244,1456778495266,1456778541295,Sitting,2/29/2016 20:41
36,356420057301244,1456778547588,1456778555806,Sit to Stand,2/29/2016 20:42
37,356420057301244,1456778560097,1456778597278,Standing,2/29/2016 20:42
38,356420057301244,1456778604241,1456778643736,Walking,2/29/2016 20:43
39,356420057301244,1456778661334,1456778701514,Standing,2/29/2016 20:44
40,356420057301244,1456778805753,1456778838996,Standing,2/29/2016 20:46
